MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
398843,675 Kulike Rd,Haiku,3635000,45056,184,2917,SLD,2900000,91476,SFD,45240,2150000,96708
399781,4067 S Paua Way,Lahaina,2174500,45184,340,1492,ACT,2174500,8581,SF,,,96761
401178,750 Kai Hele Ku St,Lahaina,2275000,45335,211,1000,ACT,2225000,87120,SF,,,96761
401646,35 Puu Hale St,Lahaina,2400000,45378,58,3300,SLD,2400000,11295,SF,45436,2250000,96761
403203,1065 Umeke Cir,Kihei,2290000,45520,26,1902,ACT,2290000,1742400,SF,,,96753
403117,1257 Hihimanu St,Kihei,2295000,45488,58,2443,ACT,2295000,1742400,SF,,,96753
403015,102 Umeke St,Kihei,2295000,45498,48,2443,ACT,2295000,1320,SF,,,96753
402251,143 Keoneloa St,Wailuku,2297000,45431,115,2846,ACT,2297000,10219,SF,,,96793-0241
398802,21 Kui Pl,Lahaina,2800000,45051,265,2477,SLD,2500000,13194,SF,45316,2300000,96761
401156,185 Auhana Rd,Kihei,2150000,45333,29,3218,SLD,2150000,136953,SF,45362,2310000,96753
400398,280 Auli'i Dr,Makawao,2900000,45260,151,2768,SLD,2900000,87556,SF,45411,2310000,96768
401716,74 Laukahi St,Kihei,2400000,45339,45,2616,SLD,2400000,7963,SF,45384,2320000,96753
403111,1338 Hihimanu St,Kihei,2350000,45511,35,1832,ACT,2350000,1742400,SF,,,96753
401762,1567 Halama St,Kihei,2800000,45390,60,2481,SLD,2800000,9165,SHO,45450,2375000,96753
401397,41 Poinciana Dr,Lahaina,2395000,45355,191,2130,ACT,2395000,5998,SF,,,96761
403242,2335 Hihimanu St,Kihei,2399000,45525,21,2550,ACT,2399000,1742400,SF,,,96753
402758,3365 Akala Dr,Kihei,2595000,45474,72,2686,ACT,2400000,32191,SFD,,,96753
